Epoch, softmax_risk, exact_top10_risk, gmips_top10_risk, gmips_p@10, random_top10_risk, random_p@10
1, 0.2654, 0.2743, 0.3304,4.76e-2, 0.3339 ,1.04e-2
2, 0.2291, 0.2416, 0.3245,4.63e-2, 0.3280 ,1.07e-2
3, 0.2091, 0.2177, 0.3200,4.19e-2, 0.3236 ,1.08e-2
4, 0.1959, 0.2024, 0.3168,3.83e-2, 0.3199 ,8.60e-3
5, 0.1894, 0.1926, 0.3127,3.55e-2, 0.3147 ,9.10e-3
6, 0.1799, 0.1847, 0.3070,3.38e-2, 0.3110 ,1.00e-2
7, 0.1740, 0.1757, 0.3065,3.51e-2, 0.3045 ,1.07e-2
8, 0.1709, 0.1719, 0.3042,3.55e-2, 0.3018 ,9.30e-3
9, 0.1674, 0.1629, 0.3002,3.33e-2, 0.2987 ,6.90e-3
10,0.1642, 0.1660, 0.2984,3.73e-2, 0.2940 , 1.12e-2
